epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.122,2.45843,2.62412,2.11452,0.11321,0.63127,0.13864,0.0357,2.4858,2.88817,2.0448,0.0006647,0.0006647,0.0006647
2,1062.25,2.32386,2.05838,1.88521,0.08125,0.68289,0.16733,0.04625,2.50178,2.34948,2.06261,0.00119956,0.00119956,0.00119956
3,1497.57,2.28604,1.95253,1.8355,0.14684,0.71359,0.20263,0.05605,2.50126,2.29659,1.88157,0.00160242,0.00160242,0.00160242
4,1997.65,2.24074,1.92863,1.80159,0.20238,0.58416,0.2506,0.07082,2.48256,2.13995,1.77501,0.001406,0.001406,0.001406
5,2456.98,2.21241,1.90903,1.76213,0.21072,0.5944,0.26616,0.07401,2.56372,2.16051,1.81637,0.001208,0.001208,0.001208
6,2921.62,2.20178,1.89567,1.76283,0.22646,0.57227,0.26254,0.07433,2.55862,2.10564,1.82895,0.00101,0.00101,0.00101
7,3392.84,2.15997,1.90443,1.7457,0.19746,0.55162,0.20836,0.06234,2.53838,2.46155,1.8723,0.000812,0.000812,0.000812
8,3838.3,2.13941,1.88564,1.72654,0.223,0.60029,0.27097,0.07825,2.42766,2.15176,1.8019,0.000614,0.000614,0.000614
9,4282.87,2.13221,1.88415,1.72014,0.22037,0.61947,0.26428,0.07576,2.43635,2.12013,1.76889,0.000416,0.000416,0.000416
10,4720.96,2.11189,1.8809,1.70259,0.20819,0.63569,0.28224,0.07993,2.3688,2.12652,1.78648,0.000218,0.000218,0.000218
