epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3757.18,1.37311,1.12367,1.10449,0.92507,0.88756,0.92994,0.66537,1.10631,19.5205,1.0308,0.000555257,0.000555257,0.000555257
2,7952.45,0.97056,0.61976,0.94987,0.94294,0.9278,0.95724,0.74583,0.91923,26.5139,0.977,0.00100094,0.00100094,0.00100094
3,12863.2,0.84193,0.67012,0.91249,0.94614,0.93625,0.96588,0.78882,0.80599,29.2203,0.93951,0.00133661,0.00133661,0.00133661
4,17403.4,0.75364,0.48867,0.88954,0.93786,0.94496,0.97245,0.81905,0.7443,27.3606,0.92078,0.0011719,0.0011719,0.0011719
5,31792.1,0.69303,0.44601,0.87531,0.94836,0.9455,0.96667,0.82703,0.68908,26.8085,0.90524,0.00100687,0.00100687,0.00100687
6,35996.5,0.65222,0.41848,0.86527,0.94443,0.95436,0.97711,0.83875,0.66895,24.7992,0.90142,0.000841835,0.000841835,0.000841835
7,40401,0.61572,0.39794,0.85692,0.9585,0.95258,0.97901,0.84955,0.64947,11.2325,0.89043,0.000676802,0.000676802,0.000676802
8,44411.2,0.58416,0.37531,0.85055,0.96187,0.96149,0.98229,0.86307,0.62657,13.1685,0.89421,0.000511769,0.000511769,0.000511769
9,48644.7,0.55349,0.34806,0.84341,0.97286,0.96617,0.98415,0.87392,0.60067,2.9264,0.884,0.000346736,0.000346736,0.000346736
10,52385.3,0.51965,0.32659,0.83609,0.97965,0.97037,0.98656,0.89069,0.55583,1.60614,0.86941,0.000181703,0.000181703,0.000181703
